Year;Defensa;Educacion;Salud;Cienciaytec
2000;3,027922793;3,5072;5,645893;0,129842562
2001;3,264438192;3,6424;5,853734237;0,129472552
2002;3,347522602;4,1812;5,63312894;0,136599611
2003;3,278369503;4,0934;5,4820932;0,147659481
2004;4,056896991;4,7762;6,809967229;0,179755261
2005;4,914190182;5,8553;8,861528145;0,220336401
2006;5,326664238;6,3302;10,2666058;0,242266253
2007;6,775762767;8,4184;13,41422262;0,381395137
2008;9,051130502;9,5392;16,60288573;0,488345766
2009;9,033202673;11,1005;16,98437218;0,455499757
2010;10,42205449;13,852;20,29628079;0,559715046
2011;10,30657851;14,9589;22,74503075;0,690821747
2012;11,70627191;16,2107;25,04576258;0,867955884
2013;12,50381263;18,6417;27,75194201;1,036604613
2014;11,8459571;17,6435;27,236481;1,164792943
2015;9,127165375;13,1198;21,41660636;0,85036338
2016;8,675980823;12,6627;20,40209051;0,754973088
2017;10,01802982;14,1455;22,53759434;0,757690335
2018;10,60286097;14,8688;24,10462751;0,790524999
